timestamp_ms,event,epoch,bytes,latency_ms,mode
1784201848152,zero_rtt_available,0,0,12.783,0rtt
1784201848656,handshake_0rtt_accepted,0,0,516.810,0rtt
1784201849169,commit_cpu,1,0,3.026,0rtt
1784201849169,commit_net,1,518,507.165,0rtt
1784201859162,commit_cpu,2,0,1.562,0rtt
1784201859162,commit_net,2,518,502.163,0rtt
1784201869158,commit_cpu,3,0,1.728,0rtt
1784201869158,commit_net,3,518,497.671,0rtt
1784201879172,commit_cpu,4,0,1.611,0rtt
1784201879174,commit_net,4,518,511.916,0rtt
1784201889179,commit_cpu,5,0,1.762,0rtt
1784201889180,commit_net,5,518,519.437,0rtt
1784201899170,commit_cpu,6,0,0.727,0rtt
1784201899171,commit_net,6,518,511.495,0rtt
1784201908659,blackout_start,6,0,0.000,0rtt
1784201908662,commit_offline,7,0,0.000,0rtt
1784201918661,commit_offline,8,0,0.000,0rtt
1784201928661,commit_offline,9,0,0.000,0rtt
1784201938662,commit_offline,10,0,0.000,0rtt
1784201948663,commit_offline,11,0,0.000,0rtt
1784201958662,commit_offline,12,0,0.000,0rtt
1784201968660,blackout_end,12,0,0.000,0rtt
1784201988715,external_commit_recovery,12,0,52.738,0rtt
1784201989444,zero_rtt_available,0,0,515.394,0rtt
1784201989444,reconnect_handshake_0rtt_accepted,0,0,515.568,0rtt
1784201989444,blackout_recovery_flush,12,0,0.005,0rtt
1784201989971,commit_cpu,13,0,0.831,0rtt
1784201989971,commit_net,13,518,524.025,0rtt
1784201999953,commit_cpu,14,0,1.624,0rtt
1784201999953,commit_net,14,518,505.182,0rtt
1784202009951,commit_cpu,15,0,1.548,0rtt
1784202009952,commit_net,15,518,503.488,0rtt
1784202019959,commit_cpu,16,0,1.728,0rtt
1784202019960,commit_net,16,518,511.047,0rtt
1784202029949,commit_cpu,17,0,0.959,0rtt
1784202029950,commit_net,17,518,501.770,0rtt
1784202039952,commit_cpu,18,0,1.566,0rtt
1784202039952,commit_net,18,518,504.224,0rtt
1784202049446,blackout_start,18,0,0.000,0rtt
1784202049448,commit_offline,19,0,0.000,0rtt
1784202059448,commit_offline,20,0,0.000,0rtt
1784202069449,commit_offline,21,0,0.000,0rtt
1784202079449,commit_offline,22,0,0.000,0rtt
1784202089449,commit_offline,23,0,0.000,0rtt
1784202099449,commit_offline,24,0,0.000,0rtt
1784202109447,blackout_end,24,0,0.000,0rtt
1784202129504,external_commit_recovery,24,0,54.051,0rtt
1784202130226,zero_rtt_available,0,0,506.704,0rtt
1784202130226,reconnect_handshake_0rtt_accepted,0,0,506.965,0rtt
1784202130226,blackout_recovery_flush,24,0,0.002,0rtt
1784202130740,commit_cpu,25,0,1.508,0rtt
1784202130740,commit_net,25,518,510.280,0rtt
1784202140728,commit_cpu,26,0,1.603,0rtt
1784202140728,commit_net,26,518,498.215,0rtt
1784202148088,done,26,0,0.000,0rtt
