channel,interval_s,run_dir,ssor_ms_per_s,rc_ms,f_blackout_per_s,sb,steady_bytes_per_s,recovery_bytes_mean,n_blackouts,n_recoveries,warnings
mars,1,results/sweep-results-mars/20260728-130309,0.0207,480257.5830,0.0008,398.1980,130.7315,16436.5000,2,1,
mars,10,results/sweep-results-mars/20260728-130309,0.0038,480081.8685,0.0010,500.9157,4.8267,3084.0000,3,2,
mars,3,results/sweep-results-mars/20260728-130309,0.0042,490095.7500,0.0004,206.3404,3.2485,4626.0000,1,1,
mars,5,results/sweep-results-mars/20260728-130309,0.0032,480168.2430,0.0005,225.3608,3.2567,3853.5000,2,1,
mars,1,results/sweep-results-mars/20260728-190016,0.0332,480257.8520,0.0008,405.2388,133.0390,16436.5000,2,1,
mars,10,results/sweep-results-mars/20260728-190016,0.0041,480559.6835,0.0010,501.2441,4.8251,3084.0000,3,2,
mars,3,results/sweep-results-mars/20260728-190016,0.0061,480103.5300,0.0006,295.8078,11.8711,6934.5000,2,1,
mars,5,results/sweep-results-mars/20260728-190016,0.0017,480648.8700,0.0002,116.8300,1.6866,3853.5000,2,1,
mars,1,results/sweep-results-mars/20260729-222809,0.0446,480314.9850,0.0007,339.4827,111.4327,16436.5000,2,1,
mars,10,results/sweep-results-mars/20260729-222809,0.0325,480172.9425,0.0010,500.9227,4.8256,3084.0000,3,2,
mars,3,results/sweep-results-mars/20260729-222809,0.0275,480163.1000,0.0015,725.0336,46.5386,6934.5000,3,2,
mars,5,results/sweep-results-mars/20260729-222809,0.0142,480120.4595,0.0010,500.9481,11.2588,5138.0000,3,2,
