timestamp_ms,event,epoch,bytes,latency_ms,mode
1785352693169,zero_rtt_available,0,0,0.302,0rtt
1785352695733,handshake_0rtt_accepted,0,0,2563.744,0rtt
1785352695735,commit_cpu,1,0,0.953,0rtt
1785352695735,commit_net,1,518,0.184,0rtt
1785352698738,commit_cpu,2,0,1.641,0rtt
1785352698738,commit_net,2,518,0.348,0rtt
1785352701737,commit_cpu,3,0,2.341,0rtt
1785352701737,commit_net,3,518,0.218,0rtt
1785352704736,commit_cpu,4,0,1.367,0rtt
1785352704737,commit_net,4,518,0.660,0rtt
1785352707737,commit_cpu,5,0,1.888,0rtt
1785352707737,commit_net,5,518,0.147,0rtt
1785352710735,blackout_start,5,0,0.000,0rtt
1785352710739,commit_offline,6,0,0.000,0rtt
1785352713739,commit_offline,7,0,0.000,0rtt
1785352716737,commit_offline,8,0,0.000,0rtt
1785352719738,commit_offline,9,0,0.000,0rtt
1785352720737,blackout_end,9,0,0.000,0rtt
1785352720737,handshake_transcript_embedded,9,2054,0.158,0rtt
1785352723335,zero_rtt_available,0,0,2598.211,0rtt
1785352723336,reconnect_handshake_0rtt_accepted,0,0,2598.466,0rtt
1785352723340,commit_cpu,10,0,1.626,0rtt
1785352723341,commit_net,10,2572,1.605,0rtt
1785352726340,commit_cpu,11,0,2.065,0rtt
1785352726341,commit_net,11,518,0.122,0rtt
1785352729339,commit_cpu,12,0,1.039,0rtt
1785352729339,commit_net,12,518,0.102,0rtt
1785352732339,commit_cpu,13,0,1.785,0rtt
1785352732339,commit_net,13,518,0.124,0rtt
1785352735339,commit_cpu,14,0,1.670,0rtt
1785352735340,commit_net,14,518,0.306,0rtt
1785352738338,blackout_start,14,0,0.000,0rtt
1785352738343,commit_offline,15,0,0.000,0rtt
1785352741341,commit_offline,16,0,0.000,0rtt
1785352744341,commit_offline,17,0,0.000,0rtt
1785352747342,commit_offline,18,0,0.000,0rtt
1785352748340,blackout_end,18,0,0.000,0rtt
1785352748341,handshake_transcript_embedded,18,2054,0.802,0rtt
1785352750929,zero_rtt_available,0,0,2588.575,0rtt
1785352750929,reconnect_handshake_0rtt_accepted,0,0,2588.995,0rtt
1785352750934,commit_cpu,19,0,1.759,0rtt
1785352750934,commit_net,19,2572,0.437,0rtt
1785352753934,commit_cpu,20,0,2.217,0rtt
1785352753935,commit_net,20,518,0.113,0rtt
1785352756932,commit_cpu,21,0,0.790,0rtt
1785352756932,commit_net,21,518,0.089,0rtt
1785352759933,commit_cpu,22,0,1.106,0rtt
1785352759933,commit_net,22,518,0.153,0rtt
1785352762933,commit_cpu,23,0,1.085,0rtt
1785352762933,commit_net,23,518,0.140,0rtt
1785352765932,blackout_start,23,0,0.000,0rtt
1785352765935,commit_offline,24,0,0.000,0rtt
1785352768935,commit_offline,25,0,0.000,0rtt
1785352771935,commit_offline,26,0,0.000,0rtt
1785352774936,commit_offline,27,0,0.000,0rtt
1785352775934,blackout_end,27,0,0.000,0rtt
1785352775935,handshake_transcript_embedded,27,2054,0.099,0rtt
1785352778507,zero_rtt_available,0,0,2571.985,0rtt
1785352778507,reconnect_handshake_0rtt_accepted,0,0,2572.196,0rtt
1785352778511,commit_cpu,28,0,1.778,0rtt
1785352778511,commit_net,28,2572,0.179,0rtt
1785352781514,commit_cpu,29,0,4.950,0rtt
1785352781516,commit_net,29,518,0.760,0rtt
1785352784509,commit_cpu,30,0,0.932,0rtt
1785352784510,commit_net,30,518,0.210,0rtt
1785352787510,commit_cpu,31,0,1.374,0rtt
1785352787510,commit_net,31,518,0.146,0rtt
1785352790510,commit_cpu,32,0,1.699,0rtt
1785352790511,commit_net,32,518,0.101,0rtt
1785352793509,blackout_start,32,0,0.000,0rtt
1785352793513,commit_offline,33,0,0.000,0rtt
1785352796513,commit_offline,34,0,0.000,0rtt
1785352799513,commit_offline,35,0,0.000,0rtt
1785352802513,commit_offline,36,0,0.000,0rtt
1785352803511,blackout_end,36,0,0.000,0rtt
1785352803512,handshake_transcript_embedded,36,2054,0.098,0rtt
1785352806098,zero_rtt_available,0,0,2586.861,0rtt
1785352806099,reconnect_handshake_0rtt_accepted,0,0,2587.251,0rtt
1785352806103,commit_cpu,37,0,1.828,0rtt
1785352806103,commit_net,37,2572,0.170,0rtt
1785352809102,commit_cpu,38,0,1.946,0rtt
1785352809103,commit_net,38,518,0.101,0rtt
1785352812103,commit_cpu,39,0,1.919,0rtt
1785352812103,commit_net,39,518,0.098,0rtt
1785352813104,done,39,0,0.000,0rtt
