timestamp_ms,event,epoch,bytes,latency_ms,mode
1784028946970,zero_rtt_available,0,0,4.428,0rtt
1784028947007,handshake_0rtt_accepted,0,0,41.930,0rtt
1784028947047,commit,1,518,38.118,0rtt
1784028977043,commit,2,518,34.183,0rtt
1784029007046,commit,3,518,36.695,0rtt
1784029037051,commit,4,518,41.829,0rtt
1784029067044,commit,5,518,35.029,0rtt
1784029097041,commit,6,518,32.186,0rtt
1784029127047,commit,7,518,37.894,0rtt
1784029157046,commit,8,518,37.193,0rtt
1784029187044,commit,9,518,34.954,0rtt
1784029217042,commit,10,518,33.625,0rtt
1784029247009,done,10,0,0.000,0rtt
