channel,interval_s,run_dir,ssor_ms_per_s,rc_ms,f_blackout_per_s,sb,steady_bytes_per_s,recovery_bytes_mean,n_blackouts,n_recoveries,warnings
geo,1,sweep-results-geo/20260727-145734,0.9158,507.8317,0.0334,17.8528,505.2640,5135.0000,3,3,
geo,10,sweep-results-geo/20260727-145734,0.1328,512.0120,0.0333,17.2039,63.0258,518.0000,3,3,
geo,3,sweep-results-geo/20260727-145734,0.3360,513.6330,0.0333,17.4652,183.6655,2054.0000,3,3,
geo,5,sweep-results-geo/20260727-145734,0.2478,501.8947,0.0333,16.9815,103.3241,1027.0000,3,3,
geo,1,sweep-results-geo/20260729-002346,1.0693,509.7253,0.0333,18.0681,505.2247,5135.0000,3,3,
geo,10,sweep-results-geo/20260729-002346,0.1584,504.6927,0.0333,16.9894,63.0405,518.0000,3,3,
geo,3,sweep-results-geo/20260729-002346,0.3665,509.4547,0.0333,17.3521,183.6186,2054.0000,3,3,
geo,5,sweep-results-geo/20260729-002346,0.2724,507.4410,0.0333,17.1909,103.3230,1027.0000,3,3,
geo,1,sweep-results-geo/20260729-003231,1.2699,515.8253,0.0333,18.4723,505.2303,5135.0000,3,3,
geo,10,sweep-results-geo/20260729-003231,0.1878,508.6960,0.0333,17.1483,63.0258,518.0000,3,3,
geo,3,sweep-results-geo/20260729-003231,0.4107,510.3980,0.0333,17.4319,183.6635,2054.0000,3,3,
geo,5,sweep-results-geo/20260729-003231,0.2644,499.7013,0.0333,16.9250,103.3241,1027.0000,3,3,
geo,1,sweep-results-geo/20260729-004111,1.1698,513.9850,0.0334,18.3146,505.3426,5135.0000,3,3,
geo,10,sweep-results-geo/20260729-004111,0.1558,502.9577,0.0333,16.9250,63.0258,518.0000,3,3,
geo,3,sweep-results-geo/20260729-004111,0.4233,505.0037,0.0333,17.2608,183.6227,2054.0000,3,3,
geo,5,sweep-results-geo/20260729-004111,0.2516,505.6007,0.0333,17.1091,103.3253,1027.0000,3,3,
leo,1,sweep-results-leo/20260727-011905,1.2938,43.5623,0.0333,2.7466,516.7526,5135.0000,3,3,
leo,10,sweep-results-leo/20260727-011905,0.1686,37.2007,0.0333,1.4090,63.0265,518.0000,3,3,
leo,3,sweep-results-leo/20260727-011905,0.4024,40.1590,0.0333,1.7417,183.6676,2054.0000,3,3,
leo,5,sweep-results-leo/20260727-011905,0.2341,38.0800,0.0333,1.5037,103.3230,1027.0000,3,3,
leo,1,sweep-results-leo/20260729-000608,1.0976,39.9217,0.0333,2.4289,516.7354,5135.0000,3,3,
leo,10,sweep-results-leo/20260729-000608,0.1590,37.3343,0.0333,1.4038,63.0251,518.0000,3,3,
leo,3,sweep-results-leo/20260729-000608,0.3634,41.8070,0.0333,1.7576,183.6614,2054.0000,3,3,
leo,5,sweep-results-leo/20260729-000608,0.2422,37.9940,0.0333,1.5090,103.3241,1027.0000,3,3,
leo,1,sweep-results-leo/20260729-001441,1.1831,41.9130,0.0333,2.5805,516.6148,5135.0000,3,3,
leo,10,sweep-results-leo/20260729-001441,0.1336,36.7057,0.0333,1.3575,63.0272,518.0000,3,3,
leo,3,sweep-results-leo/20260729-001441,0.3753,41.5247,0.0333,1.7601,183.6635,2054.0000,3,3,
leo,5,sweep-results-leo/20260729-001441,0.2019,40.2520,0.0333,1.5440,103.3253,1027.0000,3,3,
lunar,1,sweep-results-lunar/20260727-150944,0.8581,2614.7247,0.0333,88.0447,1414.9216,6162.0000,4,4,
lunar,10,sweep-results-lunar/20260727-150944,0.0947,2595.1087,0.0333,86.6279,55.8357,518.0000,4,4,
lunar,3,sweep-results-lunar/20260727-150944,0.2581,2614.4270,0.0333,87.4209,167.7794,2054.0000,4,4,
lunar,5,sweep-results-lunar/20260727-150944,0.1784,2592.5818,0.0333,86.6129,94.6832,1027.0000,4,4,
lunar,1,sweep-results-lunar/20260729-201601,0.9428,2609.9440,0.0333,87.9750,1415.0042,6162.0000,4,4,
lunar,10,sweep-results-lunar/20260729-201601,0.1487,2591.8933,0.0333,86.5761,55.8367,518.0000,4,4,
lunar,3,sweep-results-lunar/20260729-201601,0.3858,2586.7270,0.0334,86.6568,167.8409,2054.0000,4,4,
lunar,5,sweep-results-lunar/20260729-201601,0.2414,2591.5802,0.0333,86.6418,94.6824,1027.0000,4,4,
lunar,1,sweep-results-lunar/20260729-202556,1.0618,2634.3358,0.0333,88.9037,1414.9452,6162.0000,4,4,
lunar,10,sweep-results-lunar/20260729-202556,0.1133,2600.1478,0.0333,86.8001,55.8264,518.0000,4,4,
lunar,3,sweep-results-lunar/20260729-202556,0.3416,2619.7140,0.0333,87.6960,167.8087,2054.0000,4,4,
lunar,5,sweep-results-lunar/20260729-202556,0.1796,2587.9005,0.0333,86.4581,94.6832,1027.0000,4,4,
lunar,1,sweep-results-lunar/20260729-203426,0.9477,2620.0458,0.0333,88.3139,1419.2002,6162.0000,4,4,
lunar,10,sweep-results-lunar/20260729-203426,0.1039,2586.5485,0.0333,86.3366,55.8260,518.0000,4,4,
lunar,3,sweep-results-lunar/20260729-203426,0.3163,2593.5858,0.0333,86.7987,167.8073,2054.0000,4,4,
lunar,5,sweep-results-lunar/20260729-203426,0.1882,2583.6613,0.0333,86.3253,94.6832,1027.0000,4,4,
mars,1,sweep-results-mars/20260728-130309,0.0207,480257.5830,0.0008,398.1980,130.7315,16436.5000,2,1,
mars,10,sweep-results-mars/20260728-130309,0.0038,480081.8685,0.0010,500.9157,4.8267,3084.0000,3,2,
mars,3,sweep-results-mars/20260728-130309,0.0042,490095.7500,0.0004,206.3404,3.2485,4626.0000,1,1,
mars,5,sweep-results-mars/20260728-130309,0.0032,480168.2430,0.0005,225.3608,3.2567,3853.5000,2,1,
mars,1,sweep-results-mars/20260728-190016,0.0332,480257.8520,0.0008,405.2388,133.0390,16436.5000,2,1,
mars,10,sweep-results-mars/20260728-190016,0.0041,480559.6835,0.0010,501.2441,4.8251,3084.0000,3,2,
mars,3,sweep-results-mars/20260728-190016,0.0061,480103.5300,0.0006,295.8078,11.8711,6934.5000,2,1,
mars,5,sweep-results-mars/20260728-190016,0.0017,480648.8700,0.0002,116.8300,1.6866,3853.5000,2,1,
mars,1,sweep-results-mars/20260729-222809,0.0446,480314.9850,0.0007,339.4827,111.4327,16436.5000,2,1,
mars,10,sweep-results-mars/20260729-222809,0.0325,480172.9425,0.0010,500.9227,4.8256,3084.0000,3,2,
mars,3,sweep-results-mars/20260729-222809,0.0275,480163.1000,0.0015,725.0336,46.5386,6934.5000,3,2,
mars,5,sweep-results-mars/20260729-222809,0.1514,173.9537,0.0224,4.0447,50.6816,1027.0000,47,47,
