channel,interval_s,n_runs,n_failed_recovery,ssor_ms_per_s,rc_ms,sb
geo,1,4,0,1.1062,511.8418,18.1769
geo,3,4,0,0.3841,509.6223,17.3775
geo,5,4,0,0.2591,503.6594,17.0516
geo,10,4,0,0.1587,507.0896,17.0666
leo,1,3,0,1.1915,41.7990,2.5854
leo,3,3,0,0.3804,41.1636,1.7531
leo,5,3,0,0.2261,38.7753,1.5189
leo,10,3,0,0.1538,37.0802,1.3901
lunar,1,4,0,0.9526,2619.7626,88.3093
lunar,3,4,0,0.3255,2603.6134,87.1431
lunar,5,4,0,0.1969,2588.9309,86.5095
lunar,10,4,0,0.1152,2593.4246,86.5852
mars,1,3,0,0.0328,480276.8067,380.9732
mars,3,3,0,0.0126,483454.1267,409.0606
mars,5,3,0,0.0521,320330.3556,115.4118
mars,10,3,0,0.0135,480271.4982,501.0275
