timestamp_ms,event,epoch,bytes,latency_ms,mode
1785160751069,zero_rtt_available,0,0,267.073,0rtt
1785160751069,control_stream_0rtt,0,0,0.000,0rtt
1785160751587,handshake_confirmed,1,0,784.969,0rtt
1785160776592,zero_rtt_available,0,0,10020.126,0rtt
1785160776593,control_stream_0rtt,0,0,0.000,0rtt
1785160777090,reconnect_handshake_confirmed,9,0,10517.853,0rtt
1785160802117,zero_rtt_available,0,0,10029.977,0rtt
1785160802118,control_stream_0rtt,0,0,0.000,0rtt
1785160802625,reconnect_handshake_confirmed,18,0,10537.268,0rtt
1785160827637,zero_rtt_available,0,0,10007.626,0rtt
1785160827638,control_stream_0rtt,0,0,0.000,0rtt
1785160828135,reconnect_handshake_confirmed,27,0,10505.176,0rtt
1785160841029,done,0,0,0.000,0rtt
