timestamp_ms,event,epoch,bytes,latency_ms,mode
1785281320117,zero_rtt_available,0,0,0.261,0rtt
1785281320619,handshake_0rtt_accepted,0,0,502.241,0rtt
1785281320623,commit_cpu,1,0,1.581,0rtt
1785281320623,commit_net,1,518,0.162,0rtt
1785281330623,commit_cpu,2,0,1.741,0rtt
1785281330623,commit_net,2,518,0.126,0rtt
1785281335621,blackout_start,2,0,0.000,0rtt
1785281335624,commit_offline,3,0,0.000,0rtt
1785281345622,blackout_end,3,0,0.000,0rtt
1785281345623,handshake_transcript_embedded,3,518,0.091,0rtt
1785281346119,zero_rtt_available,0,0,496.544,0rtt
1785281346120,reconnect_handshake_0rtt_accepted,0,0,497.680,0rtt
1785281346125,commit_cpu,4,0,1.762,0rtt
1785281346125,commit_net,4,1027,0.104,0rtt
1785281356123,commit_cpu,5,0,1.450,0rtt
1785281356124,commit_net,5,518,0.143,0rtt
1785281361123,blackout_start,5,0,0.000,0rtt
1785281361126,commit_offline,6,0,0.000,0rtt
1785281371124,blackout_end,6,0,0.000,0rtt
1785281371125,handshake_transcript_embedded,6,518,0.111,0rtt
1785281371641,zero_rtt_available,0,0,516.158,0rtt
1785281371641,reconnect_handshake_0rtt_accepted,0,0,516.508,0rtt
1785281371645,commit_cpu,7,0,1.636,0rtt
1785281371645,commit_net,7,1027,0.129,0rtt
1785281381645,commit_cpu,8,0,1.884,0rtt
1785281381646,commit_net,8,518,0.143,0rtt
1785281386644,blackout_start,8,0,0.000,0rtt
1785281386648,commit_offline,9,0,0.000,0rtt
1785281396645,blackout_end,9,0,0.000,0rtt
1785281396646,handshake_transcript_embedded,9,518,0.096,0rtt
1785281397145,zero_rtt_available,0,0,499.608,0rtt
1785281397145,reconnect_handshake_0rtt_accepted,0,0,499.890,0rtt
1785281397148,commit_cpu,10,0,1.168,0rtt
1785281397148,commit_net,10,1027,0.081,0rtt
1785281407149,commit_cpu,11,0,1.929,0rtt
1785281407150,commit_net,11,518,0.214,0rtt
1785281410075,done,11,0,0.000,0rtt
