timestamp_ms,event,epoch,bytes,latency_ms,mode
1785111799597,zero_rtt_available,0,0,0.212,0rtt
1785111799630,handshake_0rtt_accepted,0,0,33.440,0rtt
1785111799634,commit_cpu,1,0,1.713,0rtt
1785111799634,commit_net,1,518,0.131,0rtt
1785111804634,commit_cpu,2,0,1.594,0rtt
1785111804635,commit_net,2,518,0.240,0rtt
1785111809634,commit_cpu,3,0,1.367,0rtt
1785111809634,commit_net,3,518,0.106,0rtt
1785111814632,blackout_start,3,0,0.000,0rtt
1785111814636,commit_offline,4,0,0.000,0rtt
1785111819636,commit_offline,5,0,0.000,0rtt
1785111824635,blackout_end,5,0,0.000,0rtt
1785111824636,handshake_transcript_embedded,5,1027,0.116,0rtt
1785111824672,zero_rtt_available,0,0,36.740,0rtt
1785111824672,reconnect_handshake_0rtt_accepted,0,0,37.005,0rtt
1785111824676,commit_cpu,6,0,1.441,0rtt
1785111824676,commit_net,6,1545,0.168,0rtt
1785111829677,commit_cpu,7,0,1.934,0rtt
1785111829677,commit_net,7,518,0.138,0rtt
1785111834676,commit_cpu,8,0,1.447,0rtt
1785111834676,commit_net,8,518,0.094,0rtt
1785111839675,blackout_start,8,0,0.000,0rtt
1785111839679,commit_offline,9,0,0.000,0rtt
1785111844678,commit_offline,10,0,0.000,0rtt
1785111849677,blackout_end,10,0,0.000,0rtt
1785111849677,handshake_transcript_embedded,10,1027,0.095,0rtt
1785111849716,zero_rtt_available,0,0,38.751,0rtt
1785111849716,reconnect_handshake_0rtt_accepted,0,0,39.062,0rtt
1785111849720,commit_cpu,11,0,1.483,0rtt
1785111849720,commit_net,11,1545,0.127,0rtt
1785111854720,commit_cpu,12,0,1.742,0rtt
1785111854721,commit_net,12,518,0.136,0rtt
1785111859720,commit_cpu,13,0,1.782,0rtt
1785111859721,commit_net,13,518,0.121,0rtt
1785111864720,blackout_start,13,0,0.000,0rtt
1785111864726,commit_offline,14,0,0.000,0rtt
1785111869724,commit_offline,15,0,0.000,0rtt
1785111874722,blackout_end,15,0,0.000,0rtt
1785111874723,handshake_transcript_embedded,15,1027,0.091,0rtt
1785111874761,zero_rtt_available,0,0,37.921,0rtt
1785111874761,reconnect_handshake_0rtt_accepted,0,0,38.173,0rtt
1785111874764,commit_cpu,16,0,0.942,0rtt
1785111874764,commit_net,16,1545,0.119,0rtt
1785111879765,commit_cpu,17,0,1.725,0rtt
1785111879766,commit_net,17,518,0.137,0rtt
1785111884765,commit_cpu,18,0,2.208,0rtt
1785111884766,commit_net,18,518,0.170,0rtt
1785111889577,done,18,0,0.000,0rtt
