timestamp_ms,event,epoch,bytes,latency_ms,mode
1785353417192,zero_rtt_available,0,0,0.502,0rtt
1785353419767,handshake_0rtt_accepted,0,0,2575.193,0rtt
1785353419771,commit_cpu,1,0,1.851,0rtt
1785353419771,commit_net,1,518,0.165,0rtt
1785353424771,commit_cpu,2,0,1.897,0rtt
1785353424772,commit_net,2,518,0.121,0rtt
1785353429771,commit_cpu,3,0,1.731,0rtt
1785353429771,commit_net,3,518,0.102,0rtt
1785353434769,blackout_start,3,0,0.000,0rtt
1785353434773,commit_offline,4,0,0.000,0rtt
1785353439772,commit_offline,5,0,0.000,0rtt
1785353444771,blackout_end,5,0,0.000,0rtt
1785353444773,handshake_transcript_embedded,5,1027,0.137,0rtt
1785353447363,zero_rtt_available,0,0,2589.914,0rtt
1785353447363,reconnect_handshake_0rtt_accepted,0,0,2590.360,0rtt
1785353447367,commit_cpu,6,0,1.676,0rtt
1785353447368,commit_net,6,1545,0.235,0rtt
1785353452368,commit_cpu,7,0,1.805,0rtt
1785353452368,commit_net,7,518,0.116,0rtt
1785353457368,commit_cpu,8,0,2.084,0rtt
1785353457368,commit_net,8,518,0.135,0rtt
1785353462366,blackout_start,8,0,0.000,0rtt
1785353462368,commit_offline,9,0,0.000,0rtt
1785353467369,commit_offline,10,0,0.000,0rtt
1785353472368,blackout_end,10,0,0.000,0rtt
1785353472368,handshake_transcript_embedded,10,1027,0.075,0rtt
1785353474963,zero_rtt_available,0,0,2595.220,0rtt
1785353474963,reconnect_handshake_0rtt_accepted,0,0,2595.488,0rtt
1785353474966,commit_cpu,11,0,1.052,0rtt
1785353474966,commit_net,11,1545,0.091,0rtt
1785353479966,commit_cpu,12,0,1.321,0rtt
1785353479966,commit_net,12,518,0.092,0rtt
1785353484966,commit_cpu,13,0,0.775,0rtt
1785353484966,commit_net,13,518,0.073,0rtt
1785353489965,blackout_start,13,0,0.000,0rtt
1785353489967,commit_offline,14,0,0.000,0rtt
1785353494968,commit_offline,15,0,0.000,0rtt
1785353499966,blackout_end,15,0,0.000,0rtt
1785353499968,handshake_transcript_embedded,15,1027,0.095,0rtt
1785353502578,zero_rtt_available,0,0,2610.100,0rtt
1785353502578,reconnect_handshake_0rtt_accepted,0,0,2610.346,0rtt
1785353502582,commit_cpu,16,0,1.303,0rtt
1785353502582,commit_net,16,1545,0.735,0rtt
1785353507581,commit_cpu,17,0,1.166,0rtt
1785353507582,commit_net,17,518,0.138,0rtt
1785353512581,commit_cpu,18,0,1.307,0rtt
1785353512581,commit_net,18,518,0.114,0rtt
1785353517580,blackout_start,18,0,0.000,0rtt
1785353517582,commit_offline,19,0,0.000,0rtt
1785353522583,commit_offline,20,0,0.000,0rtt
1785353527581,blackout_end,20,0,0.000,0rtt
1785353527581,handshake_transcript_embedded,20,1027,0.092,0rtt
1785353530137,zero_rtt_available,0,0,2555.182,0rtt
1785353530137,reconnect_handshake_0rtt_accepted,0,0,2555.408,0rtt
1785353530139,commit_cpu,21,0,0.641,0rtt
1785353530139,commit_net,21,1545,0.056,0rtt
1785353535140,commit_cpu,22,0,0.704,0rtt
1785353535140,commit_net,22,518,0.066,0rtt
1785353537171,done,22,0,0.000,0rtt
